RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025,10/31/2025,11/30/2025,12/31/2025,1/31/2026,2/28/2026,3/31/2026,4/30/2026
102001,0,United States,country,,1134.1847371957583,1141.6241951075265,1152.3553902064436,1160.849649194681,1170.0768418099976,1177.7119942610414,1184.508249883616,1188.7728310930224,1190.7885862396604,1190.562267648468,1189.7854777502482,1188.8159322871759,1191.450517739164,1196.2758183271606,1202.1625837093302,1210.679526256965,1219.9433940546928,1229.5184403242692,1234.496627564651,1237.0080346660957,1237.6552684916744,1235.8116259208555,1233.5677173346803,1231.4655843625524,1234.524366754374,1240.4148306396996,1249.8744724870207,1258.4646282993128,1267.6500162373404,1274.5710366356864,1278.7620651742957,1279.057400537935,1277.558681140231,1274.0157118345635,1272.0208356371884,1272.0875591631693,1276.04282,1283.0723924297404,1291.409082208214,1300.4598288490497,1308.1751803047985,1316.317141482068,1322.3383005939534,1325.7923583119898,1323.9495237961842,1321.4019869920453,1319.9750078983943,1320.142141939643,1323.5159450837882,1328.5099250101207,1338.068539966345,1346.7283435839597,1356.1380467357546,1364.564521178088,1371.083984838421,1374.006041007168,1372.2601828089319,1368.6383898028776,1365.2303983983516,1365.214290701467,1368.836089354088,1375.9454885092343,1381.0068540254883,1377.2388705789579,1370.547025434519,1366.439487281838,1367.4854258269336,1364.1907958057961,1355.833356063848,1346.564694025378,1339.3431945729735,1338.1802622932296,1346.0280435003885,1358.2670426859172,1373.1666316219128,1390.4757664361211,1414.9833063735136,1444.4118979068476,1475.441018285233,1503.9312910519336,1526.6206104071741,1538.9507281106658,1545.962218620533,1552.6500180947883,1560.9880454991603,1572.2252010448242,1584.4421181547368,1602.3548295938213,1623.8320623866045,1646.3861696620172,1665.4144944924456,1674.1549935049989,1673.9007004760554,1664.4900918711824,1654.9638267237701,1648.7096359031507,1649.0912240228104,1654.631048646583,1666.5127444032696,1675.8496133425938,1686.6789739543265,1692.5840225624254,1699.817828116945,1702.1705599846925,1699.4538171751972,1693.232148964291,1685.3084203141939,1680.4878626429293,1681.7374354419335,1688.3618918264242,1697.7265354977758,1707.7339123432064,1718.551513,1728.0261279350218,1734.2198848236228,1735.1357350846408,1732.778368669552,1726.8729458092748,1720.9999369230795,1716.6081487644822,1719.3713004101944,1726.870695985744,1738.1989484105113,1747.735017769418,1755.6753281779986,1761.1094299873437,1763.807718410174,1763.603022012423,1760.7030194025667,1755.182182416629,1747.849583988752,1742.2155915141282,1743.0315566299607,1750.2316272390588,1760.703183039993,1769.9356521942043
394913,1,"New York, NY",msa,NY,2196.888752,2210.034439429385,2228.4050210700084,2249.986683095117,2269.062433,2286.6125269767913,2297.7008948091425,2307.7912362487855,2311.245933859459,2309.8744218777674,2298.4895383988155,2287.208190471865,2281.410089,2284.514022158745,2295.086640895401,2309.1164524875917,2325.2211733791078,2340.260469,2354.1284110258393,2360.8897898783734,2362.3651103126995,2354.3504267796293,2346.7564517519895,2332.9169826630446,2326.191017628238,2324.7308470240487,2334.628203867898,2349.508587652057,2368.053356631811,2384.4181712389477,2396.0978668510115,2399.445355826908,2394.076910000687,2377.6088855688995,2360.770468509921,2348.843494648984,2347.9930520539647,2353.4792832929984,2366.9955140333072,2386.734637405926,2407.0838318509386,2425.6842457491966,2439.380743602602,2448.690940400161,2448.891043515354,2439.351946503766,2427.0869014879513,2415.7006015931756,2414.332451103937,2423.0857974865153,2437.247495880169,2457.162011291722,2477.9523591343386,2502.1993571356315,2519.118164097032,2529.8894604053517,2530.546544475328,2523.041573864302,2509.04731,2498.9955081948974,2498.7879373128117,2510.7540469823393,2519.235510192132,2509.6055888104975,2490.4788678901737,2464.3078674907965,2437.800940280081,2388.997046675147,2336.080132617511,2290.3591616978724,2256.078176017191,2240.965279588504,2241.7508776493914,2258.9637696143627,2281.1615172506836,2309.2670947529023,2352.5207611328537,2406.8201400289677,2469.7234481636183,2530.1033272446766,2580.101851026011,2611.902119716646,2634.3461474245573,2651.643427237428,2677.1334486836126,2706.4612960091167,2743.6762625355013,2782.3857468714536,2832.487798675785,2887.3531576531286,2936.086346170418,2963.984165717114,2967.9179458884564,2952.5381823848006,2924.6000380330643,2904.2465509878652,2900.4836354892727,2912.368126368052,2936.0744523503804,2966.8674345737786,3002.604183318365,3033.8414351565716,3055.4764537226015,3066.348620698836,3064.6315218507534,3050.074202,3027.511838335195,3011.5618679438753,3013.991351728685,3031.7349260951414,3058.914285986808,3087.695401516466,3119.3856026256594,3150.003493588465,3167.5777911119512,3172.8639256053166,3162.426208194491,3147.9976613917233,3137.370787797886,3129.480190058712,3138.7289374601005,3156.478427,3187.6572775827967,3216.314443636185,3243.4090556990486,3275.714273527365,3308.116202780663,3331.2403405852065,3329.3547459941333,3315.911933714053,3290.487521239083,3276.8439317305065,3271.470499433846,3289.8145493231236,3317.8429001614954,3349.1162849354846
753899,2,"Los Angeles, CA",msa,CA,1643.8674512208067,1656.6578167383634,1671.9812009626314,1689.4287691213447,1703.6014624759543,1714.8872140386973,1727.4856671948774,1742.2542852997863,1755.9233799084482,1763.1407467385175,1771.5526560702947,1778.580191,1789.417442928735,1798.9004916798046,1808.2142666266163,1818.645221591928,1826.6031688660833,1837.8584487910794,1850.8344455382396,1861.2659209290398,1871.1571151665319,1879.033962759084,1889.4319382561869,1897.0962388501966,1907.6360402532966,1919.963111332493,1940.2403334444161,1954.2606292654348,1965.3161125381112,1974.841611181646,1984.8407028254549,1993.3202664796502,1998.2974572768799,1998.2541152522049,2000.6481434677748,2003.851984460043,2014.2474844959122,2027.2717071593393,2035.3702349242435,2042.7940433167332,2048.2403472465508,2060.7108400944003,2072.2663094542254,2085.5405805435244,2090.8070107222597,2093.4441934027177,2092.519251803499,2095.451710350333,2098.943348850687,2104.2014663414457,2114.3846058145086,2124.641888689154,2133.566135733827,2143.2480139325894,2149.9965809479754,2158.026262296173,2160.7810547815916,2162.7780789647127,2164.120427783831,2166.1290757135425,2171.8501073576986,2173.181365077205,2169.788620367368,2154.0402834523325,2139.487352381074,2127.895166346905,2122.317056351937,2117.6761296230975,2112.875912984682,2111.665689065985,2108.9023589410567,2106.976710179933,2113.8403373159977,2124.077468997732,2136.1278280974375,2146.389085155566,2163.440170543409,2197.448708382184,2242.644377985075,2295.5103569706494,2335.8894064868714,2361.5771295713434,2373.895343214686,2387.786054193681,2403.393343301697,2424.886030440107,2445.4235753239277,2472.365217618874,2495.0907321104405,2519.0152227605927,2537.635892224444,2554.2482839502895,2558.962883820136,2550.811354913461,2541.4238039724924,2530.038480670768,2526.3685584853183,2527.7965355873257,2539.1522331626024,2545.808516881528,2550.959443762007,2554.96588,2566.4847330708685,2576.025798402129,2579.0070518586504,2575.166182043264,2562.192453380985,2552.413911287252,2552.437581039763,2559.5172038679057,2569.5952055841235,2574.5529737056163,2583.3060022360055,2592.3358603406855,2602.8562206592387,2608.120017898829,2612.397773180654,2609.0679017102007,2603.265715180394,2595.1283554660645,2601.6161062109854,2615.558414278671,2630.2307274171308,2635.901921498486,2640.9728538480513,2647.6203803381363,2650.8231100784274,2653.185344099866,2653.3029740595125,2651.534649,2643.4056011670787,2634.254203812534,2634.888216,2640.152405940193,2649.121567501323,2655.8190827715202
394463,3,"Chicago, IL",msa,IL,1379.8827817902275,1387.7444966737648,1397.0078398087887,1405.3967950664785,1415.8974413796811,1427.4530191756776,1431.9573992458124,1435.1968759776626,1428.400637,1421.8283292179483,1414.7261824620623,1415.6588355319618,1427.5864217563244,1436.9850382243053,1449.406848049595,1454.3180830972285,1464.0669900983441,1473.3152924033461,1480.5429571115233,1484.7840760684992,1476.175849225594,1466.9333857509757,1452.9597458017524,1448.7823787294944,1452.185107,1467.5981276509763,1484.9373474105896,1498.9301624705117,1510.340402457835,1517.0847323226697,1518.520095749393,1512.6317442872146,1505.5031593869517,1494.0282884811515,1485.6897701718792,1483.2259044871055,1492.6892341152434,1505.126785,1518.368833088764,1527.7700452068332,1538.8629089049066,1547.7159123054012,1553.1518426590696,1550.344695734764,1537.056423127418,1523.0987314939769,1514.8806874157622,1519.6550270472596,1528.9652405035533,1540.4583850998301,1555.0025082785412,1569.5849481039672,1582.3856924175252,1588.5078027816232,1590.831270135932,1589.0313390509584,1582.8167630333342,1575.0524648826456,1567.7308384061287,1562.214848993503,1571.0166532590604,1582.7479428852855,1597.946683940286,1597.0962174937272,1594.305543681382,1588.9309290699607,1586.449048551273,1577.8922120311763,1560.9678179849996,1535.9856510566196,1516.4041370871219,1507.6034683682635,1511.5590448402513,1523.902218329043,1542.757391,1570.238219,1597.4288393464728,1623.128221928651,1641.3543892253747,1652.9432064762295,1658.0052238702447,1654.7803140662916,1654.1208779842316,1658.9776465065192,1672.962640183398,1689.0816686930136,1709.2363699261243,1733.9883457707278,1760.068455738765,1780.752937227223,1796.8499336631478,1803.4718580073245,1802.7356819669446,1795.7159805202577,1788.680951,1788.3518668461888,1794.5699312628494,1810.0800804788644,1828.7196531715806,1848.3751001389269,1869.0553522583027,1886.1889081006118,1897.3354328444727,1902.4095167521234,1896.634539883754,1886.388519427059,1876.7754071043514,1877.767976757162,1886.8053526662075,1901.9518629552356,1917.8145141161012,1937.8225804913357,1955.407759214089,1971.8780831468862,1979.3411931783544,1980.4989436379028,1976.7201244228847,1972.959789531528,1970.089449005117,1971.1547003317785,1979.7047624202467,1998.2582082589631,2019.959355,2043.9664626828173,2064.2206423740217,2084.4615436393724,2093.7445439868648,2096.4790233027625,2092.2121512548606,2085.119285387674,2080.2374463651654,2077.3839946312482,2089.1348575837524,2107.373175939735,2131.941421934411,2152.3524749248954
394514,4,"Dallas, TX",msa,TX,1036.184766515529,1030.1057784413633,1035.484862508208,1053.9726916168281,1063.4581786098438,1076.1884650150932,1082.096082,1086.3425328031758,1088.2527703758299,1086.6333146601444,1094.8196052067597,1104.8688427203979,1104.2789203831705,1104.4327184594124,1113.2371867791976,1129.2810485814782,1140.043724491553,1145.7284133198173,1150.6623128829267,1156.0158711399465,1158.2570929483811,1167.2751643656882,1172.8779503452267,1175.5561838192027,1177.1528335466517,1176.5348779261294,1189.8320234867329,1196.776861523871,1214.2598869492076,1219.978726366524,1223.7703201185652,1221.839108405107,1217.9403448303667,1213.1184991396162,1215.7464319670385,1212.316989772956,1216.5553849175458,1219.8676920876696,1227.1661000309653,1232.438395139665,1238.238597065419,1248.1363319742256,1255.7154669354827,1254.9546833828674,1247.0393170299417,1248.0916803592554,1248.5541498594218,1251.6553077814592,1249.1173997396575,1251.0351500048935,1261.7722831642932,1269.578984451593,1276.2979641080258,1283.9220016155289,1288.6016400971482,1290.9295133035387,1287.6240681425252,1284.9592929608516,1279.605026970417,1273.8378031973573,1273.7102552908677,1279.5095258452113,1284.5456816613764,1281.9568401525453,1275.2342075345962,1271.368002661247,1271.1277255767766,1272.667106251441,1272.0533447613302,1270.8334378634108,1267.7130634570929,1268.9692933376725,1275.5101686934013,1286.1153257178805,1296.0317560683127,1312.152150337458,1334.3716613800173,1365.8964207017302,1398.8311222832476,1430.8279040591667,1453.9007908800738,1466.0730923635244,1475.4077519593632,1484.2580754113042,1495.4903400732833,1506.282456835853,1517.3705882325262,1534.628842639315,1556.0884540194895,1583.9400352939517,1605.2877224314145,1612.0736346262188,1606.027067299076,1587.245071580824,1572.5119706164778,1559.7020713453642,1557.101031865988,1558.1289278080112,1566.7122937070378,1568.0732043372323,1572.0384121833774,1571.3755089574768,1576.4268207505681,1574.9042944729556,1569.2265134963689,1559.9139682203238,1549.7239341037455,1538.7897811190853,1532.7550640063073,1529.2225323032499,1530.042305808629,1532.5680984715798,1537.6913101204163,1542.090517741945,1543.5930195095082,1541.6411046182982,1535.1903428773837,1528.7316152244755,1519.5126983140751,1512.6363666973753,1509.1275989104774,1512.6873273015683,1520.9777496818356,1529.7572492881316,1534.1151211824897,1535.0400227174205,1532.2856804202377,1528.9388787298424,1522.537937220586,1514.7872824114465,1507.8295511369204,1503.2262065302561,1501.1608103316169,1504.3869386980236,1510.1138563204918,1517.4116020125186
394692,5,"Houston, TX",msa,TX,1119.6806895124068,1135.1603075542337,1134.1459155671141,1146.2949354843388,1149.240991784405,1165.3882603316608,1174.0436455354495,1182.4674454469748,1192.361087535261,1187.3088364419273,1185.781341232618,1182.577745080404,1174.2989446891165,1178.5013859737692,1187.158077093082,1207.9070760109016,1213.1385098400265,1212.5557259805148,1211.7083822000343,1203.9949348927878,1202.2120496667226,1199.6239999034105,1195.7449469741923,1193.3192881240054,1188.4574948170364,1197.3656987847153,1202.0974417322395,1199.8796369091167,1208.091056,1201.6394379016351,1199.8642234825354,1185.8430737299313,1195.6024067500507,1209.4680174784905,1231.8106879721347,1245.696254681123,1246.914176,1249.9212482050855,1247.1477864550905,1256.4361476307602,1254.2426771574856,1255.5711507442004,1254.199157592521,1251.7818211873105,1248.8238051621104,1249.6289215020122,1253.649736,1251.5555929540308,1247.8477810205857,1242.5536281483674,1247.541599144568,1249.8286427212438,1256.7066880388168,1262.3527343519968,1266.9907857543087,1266.5676298110116,1260.8923787158476,1259.4507355326039,1258.9456260648196,1263.0111468044947,1263.331643215433,1268.5801301437432,1271.596628038062,1264.9856365356975,1249.7808646580627,1239.218146053675,1238.4056187018496,1241.3798275877093,1237.6359336961314,1236.5511424068436,1236.7474431908552,1234.5764874896174,1235.897169629479,1235.198814291341,1244.6761677464635,1256.7227898214119,1276.3277104327742,1302.0819896576531,1327.6222474714116,1350.9537934626785,1363.597084833118,1368.5089536954047,1369.6574531680146,1371.1953080099872,1374.9891606705517,1383.926219838189,1393.6768744071032,1406.230978900075,1417.1743101427755,1430.922100119653,1441.3444553487418,1446.2212127521764,1442.3995853312047,1433.9702605458217,1423.6391666547572,1420.3354655335045,1423.1217864300786,1431.1980742779267,1441.2821605388037,1445.4149501362838,1451.9769916368139,1455.6778613989864,1458.9024263362176,1457.3105581929733,1450.7125805738567,1443.4507955266686,1436.6216530093798,1433.2550045600988,1434.054709396807,1435.6523970764165,1438.022531231466,1443.2350161186234,1450.6032101699102,1456.8476568709343,1459.1491442026804,1459.8247121690279,1460.2354011100097,1457.9256543393647,1451.8993502177925,1447.302434081295,1446.0944174146841,1449.5010846796683,1457.4057186759044,1461.8497924443573,1463.1014761636293,1455.074751235504,1455.8676111037157,1454.697323239089,1455.9832131643286,1449.0372422369205,1442.727693768117,1438.0017931577686,1435.8057963472854,1433.884289257074,1433.9425988402895,1436.9312923797233
395209,6,"Washington, DC",msa,VA,1741.6649748256582,1735.304198727655,1745.3648897582816,1755.4664443590468,1771.8176388292507,1779.8141683955073,1789.2832584339778,1779.410981414728,1787.4223750495175,1782.6789491103746,1789.7702879191245,1773.9981361197542,1776.4214281385532,1767.7858080080866,1779.4017744751857,1791.6952083906087,1806.7592191223948,1814.9329870201316,1822.9433002674457,1826.839425327208,1819.723847539718,1804.3599637985305,1793.9676284522438,1796.137392072153,1804.4690070335648,1820.2884179786763,1830.96624,1840.1493268671977,1846.473540567782,1856.565363576041,1863.8324779215309,1861.2676680035133,1853.893390208108,1847.507350554982,1834.960525852646,1822.8356980697988,1817.8361291690865,1826.1406390461464,1845.6151657241182,1861.9907097399737,1874.2373951619427,1886.357627292212,1894.651327929521,1902.2595414874754,1893.5585579981828,1888.1806504120968,1884.4264573925007,1889.337691731893,1893.0835554603175,1897.3235421016118,1905.022369928397,1914.866029008675,1930.364775905344,1942.5139136098576,1951.7741464920755,1948.6971681483287,1944.3697600614441,1931.8720818865504,1924.4804290395202,1925.4380220104936,1930.3916465886145,1936.356845273095,1938.9153743788706,1932.4070074029178,1921.173978568487,1908.285644934996,1900.664021334972,1890.828678397802,1869.9166449575725,1846.480845750588,1817.710634,1805.101877,1807.2158528959087,1821.076854724965,1830.9812676357792,1845.1713204460177,1872.5098964600331,1914.343757251729,1955.3985390403943,1989.1394402470837,2008.0151667449416,2016.6019599220385,2014.4605726900727,2011.385252787238,2009.4408265906336,2018.112544945793,2033.9850903301929,2056.992787908093,2083.522981043564,2112.3798092381053,2140.5798193901655,2152.7102984060925,2149.7902425561515,2127.5757281023543,2104.6065305746124,2085.7394604141687,2084.8933885303786,2097.1785986018676,2123.250112968719,2137.7906555608806,2154.4789440866903,2163.267424745526,2179.6884292690456,2188.0455521535137,2188.465851064809,2181.178291451444,2169.7309688309797,2159.132191569808,2160.769702384476,2174.8426719929316,2194.5209494376645,2213.0955316841473,2232.5991118255783,2252.4308198332315,2267.463497976234,2271.7222277757555,2266.679463394131,2255.3453220235733,2241.303709902624,2233.1238396311082,2238.699433414716,2255.228898375716,2275.8742471279957,2289.705307622776,2296.445247533238,2297.722657722108,2292.683852535619,2284.480233745055,2270.678553558465,2254.486325329423,2235.594728,2225.128732617024,2224.627928,2236.373634683978,2247.7298522676683,2257.9464724354266
394974,7,"Philadelphia, PA",msa,PA,1237.006594305284,1242.631433017257,1259.3967907832005,1266.2701028525594,1270.2268666524837,1273.7844751476687,1276.9000112261604,1277.4858815123619,1274.6579803322543,1271.0165707772276,1269.6920627534166,1262.7015,1264.2754522233272,1273.2923619187738,1284.3801325861255,1293.5170456547473,1300.5125885186874,1311.6642342993443,1312.7786416870808,1310.196282,1306.484797,1304.0484428532454,1304.991284079529,1301.2808339504809,1304.534237388718,1311.5930355902121,1325.842525637455,1334.640719762012,1340.2723967331626,1342.114424456064,1343.1243069524262,1341.3388001819644,1336.2959919489583,1331.6847984699702,1327.6628967171814,1332.3573360270325,1339.1909349273044,1351.7672278851328,1361.9038330226408,1369.8880922841602,1375.7295809470647,1379.523032829568,1382.6697229682632,1381.9299952597685,1376.5225069657502,1375.7793233195307,1377.3210567488006,1380.315219053837,1384.2147544555105,1390.3888823084285,1405.9065839518476,1417.4634774726355,1425.2641288014456,1433.642554904649,1437.8583903788362,1436.9374858702117,1430.786918652562,1425.6526128034443,1425.9229457001295,1426.147968683718,1428.7245459473395,1439.7907451655783,1450.3177145560173,1454.254489895587,1450.2990638515396,1448.5258549224957,1451.3035948558836,1448.096999523029,1442.2402144151174,1437.130966639562,1434.395682898678,1434.1874526826896,1437.9628350471512,1446.6708514931008,1459.0936596903905,1476.9214540862415,1500.4564688947457,1523.2709441444158,1543.236021274611,1559.0665137503815,1569.5999519296859,1576.001779760091,1581.4771862982197,1593.0361784387844,1603.0971881734029,1615.2788171734535,1625.7639499067984,1640.2674022432025,1655.153482679683,1670.0994168644713,1681.660873095317,1684.511537110519,1681.0849779209566,1672.0382560384946,1665.5962988177018,1661.1171604924439,1664.275838,1666.6162040929812,1678.935645868174,1687.900956491121,1701.7627219734466,1705.8012926212568,1712.451535,1715.4766795396881,1715.4047341675534,1709.0393253872578,1701.7967500123764,1698.7305178118602,1702.2596807965438,1712.8533335239697,1722.6863690297023,1733.802248710479,1742.1897231840785,1751.9228186140729,1756.8383315757678,1757.0601354274647,1752.8399510661604,1748.8809687157168,1746.8245791491609,1748.3213917976557,1753.2881512340973,1759.5473816797246,1766.9888061445783,1774.2512794928675,1782.4664637166193,1790.3940635736133,1801.9154711018748,1805.594612209227,1807.065237,1801.0487786763858,1797.3145838006253,1795.8710442493361,1798.7121447236655,1809.680024,1817.3085819267392,1824.3675723630204
394856,8,"Miami, FL",msa,FL,1414.3014100264904,1421.5585221801823,1432.3304168371753,1439.296433178688,1445.4411552079928,1446.197649620973,1457.3608367581453,1468.6068462942603,1484.4057359314704,1484.9128831138278,1492.9249473235157,1486.1831380942385,1501.7347501283784,1507.1130677077288,1522.293141380259,1527.3243727346005,1530.0404282162199,1531.8136396532977,1534.0180438898467,1533.6879102598532,1542.5405636195478,1541.4507288682744,1550.925452196164,1547.282370801014,1558.1253442267657,1562.5038104556882,1569.7124229110493,1574.1417487606097,1575.0685275963542,1579.4801890230879,1578.2220534998726,1585.3529762835215,1591.022044,1598.9215537822693,1598.5903454226998,1601.257619527798,1599.5541524232779,1604.2524747121647,1608.9580855807078,1618.0023552129658,1621.3629782490025,1630.0044255765374,1634.8995330944276,1638.4058079991464,1638.244656661333,1646.7285932851084,1659.0450839573057,1666.7531496949216,1667.867150023879,1666.0038090854846,1668.682784131057,1667.9548501597849,1675.448759192701,1678.9639256959945,1683.9853445549043,1683.690008474531,1686.100765874811,1696.2533075819383,1713.1282921945008,1726.4470793626447,1730.8079935750807,1731.4549146500635,1735.2107536817343,1729.589702189651,1717.1878136320856,1706.2385167265656,1703.7497720415615,1704.649832582116,1703.6333010959563,1708.1586498327845,1718.9853932980254,1732.1236759143596,1751.3452166865818,1770.2843956504253,1798.0510451227008,1825.6918855073498,1868.3167896702823,1918.2478034464334,1987.1091571084205,2050.2308665990195,2106.518314887554,2143.6456615910397,2182.2886483387156,2219.6829115760825,2253.848176267175,2281.529472986234,2310.4520310539856,2345.3785789290137,2379.9597676733597,2406.1361196893963,2423.794163,2421.579473856436,2424.022672001563,2417.4526661729024,2422.2854800760274,2423.119786604025,2428.329308210477,2438.070021520102,2446.424410399782,2452.4553180345133,2451.557671204308,2447.9336234463913,2443.8531421870252,2444.434150222796,2441.0679522461305,2442.763725082905,2437.1426649784758,2435.2937801003145,2438.6082077012434,2449.7186372524734,2463.331930849021,2472.5123479920862,2479.9495320240903,2482.4225138054426,2485.192666847834,2480.627869,2480.9578188972164,2479.403049504349,2478.382606096397,2478.2913968437824,2480.8457854073185,2491.589151582664,2502.547207679997,2510.4510606009994,2514.4104373669684,2514.278689,2515.236501465147,2511.191565566889,2506.7035487947346,2500.698643997494,2499.3827788740196,2495.8696059059907,2497.3841404931745,2505.572874412782,2520.901600791117,2528.120548651495
394347,9,"Atlanta, GA",msa,GA,988.8363991715398,988.2740209637177,990.8712838751864,1017.0861758569929,1030.1203368910142,1048.7141415710084,1050.926718,1047.8686566389024,1040.2019052857074,1043.5667928851824,1064.0589082568272,1078.5414906690453,1081.9326084822612,1083.889544947817,1093.180894382351,1104.2569753658113,1113.2874568746877,1126.013845071395,1138.0994092994301,1145.493106190011,1149.0090000996256,1151.6658162396825,1156.2524612135228,1154.5831653665607,1155.3752426166448,1162.267944471652,1172.124785150642,1189.5209513458005,1202.1200625677054,1213.1175587079927,1218.202335711329,1218.487273946277,1224.102609944967,1223.4952256559086,1221.6884514730566,1218.8743710296364,1224.4902973286935,1236.4793791911093,1246.9184035440658,1257.3709687395553,1269.924399325867,1281.1530251804413,1287.2657247085106,1290.3280294817484,1290.698382610664,1299.6947758387148,1300.7515992579686,1302.6143472970787,1305.6077018790263,1312.923167575524,1325.4765583594617,1333.426444214134,1340.4258925986474,1347.2338935017783,1350.072736955456,1355.2706837814499,1352.558762406215,1348.8814936293568,1338.017232131074,1337.3838257506209,1340.9243881706627,1351.8607731910608,1354.7815240137334,1347.8361749591297,1338.4611223597767,1337.8169889290823,1349.745553414697,1359.5898317980073,1362.8822960444215,1361.2524471702068,1362.431794,1367.4341601772555,1378.1190017129136,1392.0017712076256,1405.9901235258942,1426.5003782700817,1456.0868091096752,1499.5932195292028,1550.4318841879387,1601.1996990156883,1641.373128192967,1663.5969970051667,1668.9991202119595,1664.6344681792307,1659.1900806179565,1658.7288171814268,1667.0207702616265,1677.0236583154824,1695.7991642298578,1714.8824142173858,1737.6939984774997,1745.5201948001775,1741.9154284530123,1722.1546287595029,1701.7155057361583,1683.9948875742257,1678.0624292158261,1680.7128802413313,1692.6041577840413,1696.402037346249,1698.6116868688136,1695.790810879899,1695.9198827145945,1688.6252409026038,1677.8208017934576,1660.4889858931606,1644.8814128521801,1629.0883706017107,1625.160223,1627.8133386907907,1632.2258177214883,1636.4909647032368,1642.589397094119,1646.6241561166419,1647.422220926515,1640.6188224290654,1638.0128850347373,1628.4602002253516,1619.4850750427354,1609.5555933825046,1612.9744892813542,1621.907753062805,1632.7028863374576,1637.3191870078606,1641.9457966535133,1647.5814129056826,1654.6121583442198,1659.2275901486644,1658.466756835946,1650.5763362112657,1639.6930315737063,1631.205038464645,1632.929570927797,1636.0146416348111,1640.3413472255907,1644.8812902662748
