RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31
102001,0,United States,country,,134.0609463543148,134.81629913152312,136.97712781731911,136.79245283018867,139.14682367117683,140.51352919009582,140.7190311764375,143.73403158813494,145.45608465608467,146.6380980863336,148.4265485921889,148.29742388758783,140.49079754601226,141.2118367346939,142.16366158113732,142.72071533426555,144.6782608695652,145.28679350867375,146.37546468401487,148.16966879721093,149.7338403041825,151.86939860934166,153.63211885390874,153.93991644232156,147.49087912578958,147.42857142857142,148.5955504422435,148.40954274353876,148.15954582401952,149.35790061418203,152.70454068415808,155.96051632498103,157.08652729384437,159.77443609022558,160.2512340856888,161.85980941379546,156.03146853146853,159.62272463425302,161.46393972012916,164.63692038495188,168.14335490293678,172.60199833472106,176.88772446902777,180.4314476511219,183.28580857882537,187.9841584142569,189.6797153024911,192.278940027894,188.46153846153845,191.09536660677875,194.2908798714343,198.24245155475438,202.41528478731075,205.20380274289732,207.25637702133443,209.76365305185865,210.0339598917559,211.7067089755213,211.05141083480967,207.7562326869806,201.7845072906959,200.60244286840032,202.1795377510366,203.52477548187954,205.58251517792968,205.8931552587646,206.40956002172732,208.04888327012222,208.9137847053093,209.48537566591293,207.7335532104707,208.01969365426694,203.85608987717737,203.71830484330485,205.89730554143367,207.82396088019559,208.28405074328987,207.97194486478043,207.70770877944327,207.27153065062055,206.18556701030928,208.43373493975903,206.8049898167006,206.66922290388547,204.75017889087655,204.5371212121212,204.34726806013936,205.110014714315,203.5303414063905,203.7729753554147,203.7703804347826,204.75143917223835,204.54545454545453,206.66666666666666,203.69493131217433,201.62898149251362,201.99750623441395,200.77972709551656,201.38089758342923
394913,1,"New York, NY",msa,NY,232.83010844142038,241.95509496389144,236.06377365356622,249.97058823529412,250.97196258122364,266.6190476190476,265.0895319122621,262.133013780707,267.79736665922786,270.99128762201735,276.7412935323383,279.8857395925598,256.1012296568085,260.4650947628126,265.15396685190774,266.3981986252667,279.1023842917251,280.56569343065695,268.3180894308943,265.24344978165936,268.0,274.96875,278.1740370898716,306.66279499498444,264.57883369330455,263.6363636363636,272.72727272727275,283.5774946921444,257.63045618641286,270.75,271.3458755426918,268.5626965706707,271.47515527950316,281.30354927330734,307.6109936575053,329.9951608195007,276.3888888888889,305.42176059234885,313.3333333333333,347.92061281337044,353.39285714285717,386.0618125668965,379.6485737234653,399.19269102990035,407.0468028236474,376.07769495412845,358.74439461883406,389.7960199004975,367.93152487848056,342.2256097560976,393.5343917866177,403.1574981160512,402.2346898459107,409.5089559132631,391.3662239089184,404.8239938303073,353.51982785121425,407.4074074074074,447.71942682301676,433.7316539547425,365.8485772357724,348.5056390977444,401.9706862129459,426.65615141955834,406.71742857757135,460.5256590922436,429.70154620640056,416.5277777777778,404.8582995951417,405.11440107671604,425.175983436853,458.4542833785121,445.2468487394958,386.9047619047619,498.015873015873,481.7618719889883,505.76976874300635,527.0215359609915,549.8489684718763,602.790894672338,542.2753430721558,432.5,536.6692131398014,548.310923167355,533.3333333333334,426.6666666666667,481.67539267015707,468.20371377515346,430.7692307692308,538.0210772833723,452.1226436316192,573.8304093567251,481.5051020408163,468.75,523.8095238095239,510.59208083846585,700.4025564699702,560.2690582959641,574.822974036192
753899,2,"Los Angeles, CA",msa,CA,385.85481682496606,401.6823236426497,398.9213639526792,421.3217170159347,422.57650031598996,419.37914725398844,424.0060309620619,430.1525505678695,427.7275042444822,422.01728441303067,396.27267060711125,403.14032424086463,438.97334170567416,407.81082529474816,415.87982832618025,441.2326348697126,431.78916035940335,428.8884923378912,430.3332374616061,420.13261000602773,422.7670125337986,418.8376753507014,418.2403433476395,398.36532712186306,427.80748663101605,428.03643184215093,439.28980526918673,420.9599295464553,419.0391459074733,439.7427919518772,430.6128689156162,414.5024243597314,441.2498842806888,427.1013036108069,437.24694563026037,453.4577545086297,464.88577970761446,432.5192844714371,489.7502795378308,514.9284253578733,492.53933803581117,500.1406614923683,508.8887174007588,506.9204152249135,540.084388185654,496.48133893539455,529.6973415132925,535.0877192982456,552.2565320665083,573.9549839228296,584.5347477542573,601.8099547511313,634.7010178117048,646.6532605573111,640.0,612.9371339518843,599.5717344753747,546.6988727858293,583.4152418490237,593.2773109243698,570.0633412509897,542.860647472947,598.0861244019138,573.562359970127,556.5910639566644,587.655942219304,568.9192495921696,604.9983827802333,592.3673080375198,600.2834868887314,569.1244239631336,552.7575376884422,648.780276816609,571.7447436370343,561.0831429601205,554.151273575734,538.2237211916807,557.4264538316031,560.9573672400898,534.4232472414803,588.8860756512317,594.3857331571995,574.0472479259666,600.6905901116427,622.408512553169,640.3202785030461,587.2588375614029,637.5,637.3168924868744,565.0779423226812,657.5947692535176,581.5492957746479,580.9483341277535,610.3165764125174,544.9002109137052,593.3217768147346,657.3371989295272,594.9962179182719,614.8027073270848
394463,3,"Chicago, IL",msa,IL,139.35103668261564,147.06804640953277,145.69984621091515,151.0483385909569,151.42857142857142,151.8387569150667,155.4164414303733,146.1864406779661,153.27425792567837,146.53846153846155,149.3704323633356,151.27954702422787,144.5876447876448,145.95955015418102,149.33937025563654,152.4879827994111,159.28859726387068,152.33333333333334,162.9806530676787,155.24113192506974,156.75057208237988,152.87117822520509,150.64102564102564,156.91417699731178,143.91133441988651,152.23275303405205,153.32036349339452,153.4191780821918,147.2781988543682,157.02479338842974,157.06189618237826,160.1657458563536,166.05166051660515,165.9012629161883,158.5651920838184,162.8001628001628,157.61250099136402,160.1998420221169,167.52020526585875,167.6003890632008,169.50121969248966,176.15362811791383,178.0,175.42118863049095,180.80851063829786,186.68608037274316,185.86387434554973,187.1240203654425,186.03960396039605,185.2544891640867,194.91619866619868,195.4802319451766,195.0730735163862,206.1470251716247,205.55108359133126,196.51643990929705,197.77777777777777,193.00157785590383,196.58800920703564,191.96369636963698,189.51505016722408,189.8032040959577,193.507145616068,199.99966666666666,204.4612885760693,198.34478527607362,201.29786541715475,198.71900826446281,202.43801652892563,200.95512835131086,201.14173786928146,206.28071833648394,198.47816298964432,204.0,204.21693783896538,210.43272080616478,211.62950751452487,221.15706806282722,216.89186583254883,211.910556621881,211.10336649920666,205.70081967213116,204.33138226024315,215.4148043922088,211.2766396945695,208.31985154736424,211.8906001062135,222.7536231884058,215.9040652761684,220.78571428571428,216.67821133293003,213.5478359908884,214.34887649610152,214.45986083806278,210.62216461438754,215.61662552603408,212.3371483071054,215.77494199535963,219.7408141621798
394514,4,"Dallas, TX",msa,TX,131.4600492784231,131.007603671946,132.0505397448479,131.21811670835478,134.19232818327117,135.82655981682885,135.3390880743172,134.73022836211618,136.306752629793,136.83080731871283,134.72109761583445,136.47417679418672,135.80845371988443,136.5359317904994,135.0368646727901,137.55571736320553,137.69655758606035,137.3515182707154,139.2727918135527,137.95944678561372,139.31164478857903,139.5827211284161,140.2469135802469,138.5726532361766,139.27433122698852,138.30095455888818,139.94851706771124,140.41095890410958,140.5031674208145,141.4527574238334,141.94761108920744,143.91324815063888,144.80697674418604,147.22222222222223,147.82481751824818,148.74065598779558,149.14054600606673,153.4241887561348,153.512661039538,159.84513274336283,162.25905936777178,162.57,167.82845708769773,172.17006598680263,174.93443237167477,175.96279537456007,176.6213021069325,181.5909067149746,182.64840182648402,184.98617123617123,191.24894868206445,195.1059548882185,200.89082824910787,204.7893611012263,204.54091816367264,204.5966620762017,203.98125509372454,200.20020020020021,199.06439742410305,196.69278119753778,193.72432133838385,191.35730858468676,193.1008985882754,193.7869822485207,194.1046550016507,194.32806324110672,195.1807999367577,195.70783981951496,194.48373408769447,191.92422731804587,190.91256204658268,189.76600769071212,187.22466960352423,186.3432073544433,189.75903614457832,191.7868338557994,191.7868338557994,190.5829596412556,191.0344827586207,188.4717508337646,188.8607638888889,190.0119712689545,187.41322409285203,188.33606288896166,183.4118101119259,184.8045204642639,184.25417402649538,183.88888888888889,180.39491602360417,181.47274484947422,180.3971143149858,180.1089918256131,179.1865205276889,177.38436907590744,174.52283474965355,174.48748292556039,172.92396238651102,175.0514857310974,174.720823798627
394692,5,"Houston, TX",msa,TX,114.58353394318729,114.63435392717275,116.625,118.18947511312372,118.73996789727127,119.08263180641416,120.2127659574468,120.38133601879825,120.68079640333976,120.5936507936508,119.69081272084806,121.9027234339362,119.719165240075,120.63410377822993,123.67448330683625,122.18642955615462,123.65813011373206,124.68971568971568,125.70224719101124,124.64665448897051,126.20922715251248,125.425877763329,126.72064323111444,126.73938679245283,123.9719600371622,125.29623698959168,127.47861842105263,127.09697472026522,126.73150604185086,128.3503208758022,128.70028544243578,130.32102519548218,130.51552047392704,133.05963473723443,133.9186096840374,135.41115432231933,135.49688302163548,135.3690963295184,140.40133416705257,144.55266122010804,146.46620363355538,151.62541713014463,153.61900684931507,155.94846141715888,157.58338577721838,158.83439653770623,161.57461809635723,163.41571882962248,161.54145581938496,165.8078231292517,169.91525423728814,174.40097216927182,174.61778757809628,177.24778387505276,177.1309613928842,179.28800599515816,177.41935483870967,173.9633552356026,172.41379310344828,171.44638403990024,165.5290272830516,166.13874338550065,169.0169082125604,169.84926470588235,172.34275029287193,171.61650165016502,172.86751993518206,172.35666907679598,171.38505261644622,167.27084412221646,165.0846058605035,170.24342745861733,166.47465437788017,165.11307227212512,170.4151227031459,171.11567419575633,170.33542976939202,171.55134741442097,171.90405135598127,170.11294015897968,169.4915254237288,171.68146661720232,167.814168743325,170.62817258883248,168.03953871499175,166.03053435114504,169.9825378346915,170.27863777089783,168.10985736212479,168.11717047473505,169.03469750889678,165.62007097791798,164.28004220243,164.07195262803805,162.23558216890734,165.85720834288333,162.90629692482997,160.98011363636363,162.60200782339734
395209,6,"Washington, DC",msa,VA,183.5476618705036,181.04692429022083,186.75252989880406,185.93354430379748,182.94044370514354,183.32604817127566,186.3801557542544,191.18277813748045,188.5465367965368,200.0,191.58494147421703,195.83333333333334,191.57500406335885,184.01550998948474,193.41095806652436,194.03227232537577,192.1958224543081,192.43019538188278,194.73112128146454,192.192373853211,197.81878871099684,195.2965235173824,196.43229841452302,202.14521452145215,200.7896146195379,200.89262079831934,201.14926023852385,200.4266877637131,202.499375,204.6311254711901,218.52460662872448,214.2535433070866,216.83019916014035,222.04490566037737,212.31342442279941,219.75887474882785,211.47893772893772,219.33676028866785,226.70322580645163,228.1373920606975,222.08857352581356,225.14826839826839,234.3848940190651,239.23431714052595,238.73279198577683,249.95253164556962,252.7023362536504,250.84610630407911,248.6478831246273,243.82091690544414,254.37198464072048,255.31822344322345,259.7227858513847,263.5778056483939,268.8513731825525,275.27706833416084,274.7860735674649,283.2794814346098,284.07368967306695,270.3940733169014,254.44656488549617,257.3505556418422,257.2413793103448,259.1947694425327,266.3954285715545,276.6064678706426,283.17588843904633,277.9344215885926,262.33981756783214,265.9443363176333,263.22232996301045,270.98581884720954,284.5456162191001,273.8580242214191,286.0367604824813,288.4561965811966,275.8530510585305,277.15654344058476,278.12153518123665,266.9127380128094,266.93762374513005,257.1536075281285,263.2720954742715,282.9969896993346,277.03062357666886,272.86036815049874,274.7413152129262,268.9004372687521,265.54244212437584,273.26726726726724,270.74375,270.99593341324356,280.1161001039336,269.21855541718554,246.00735182788696,266.0522341095028,258.7357675696898,258.7832512315271,267.00264386432923
394974,7,"Philadelphia, PA",msa,PA,166.66666666666666,167.4733457831581,167.34181150550796,172.16117216117217,170.410175654163,166.4961410493115,165.93133177152615,168.92364204586767,164.45190884501528,179.44802772068977,168.31679133673686,169.0625,163.06772727272727,163.19301696734144,163.55140186915887,169.54625265138174,164.639854107644,170.19006849315068,165.27316875758802,168.73040857334226,169.7080311015681,173.16236882416092,168.10349051443455,165.33212010919019,164.45901828242205,167.77786952931461,166.85222414789138,171.4789207419899,167.506088351281,166.5,172.1948818897638,176.747311827957,175.85931254996004,181.7559428632342,183.81729629401224,180.83333333333334,173.39347503707364,183.09012875536482,185.46581196581195,182.28917197957304,187.5585858890767,194.73997833152762,196.68013580464816,197.93293539325842,199.04188144329896,206.74472163550564,206.07874021643013,213.0014827201784,202.55339524085898,201.08954128440368,207.979302832244,205.60747663551402,223.14375987361768,218.85810971753705,225.85714285714286,222.9977973568282,226.15219112566564,231.41109530583213,225.66,232.53579295154185,224.19892079787402,222.2108479532164,226.8312101910828,238.17317647058823,239.30759412890873,244.9384081327902,235.4216958358479,239.5594061302682,240.8458244111349,246.9125624723224,238.82666666666665,241.42164346654693,245.57677165354332,235.0536535513541,240.10493864587846,242.49143853576675,254.22529539936255,248.99749627610686,256.2307517084282,253.354266249067,252.01040505388332,265.0664830204113,256.43300798580304,248.86753428666103,257.9253355704698,245.14563106796118,248.248522987459,282.6216151932084,262.4583333333333,252.8793189784677,275.0019793114676,264.2404689720512,258.1840643968422,260.2739726027397,242.16795201371036,251.4957617362785,245.88697797091942,241.5909090909091,262.80838993512145
394856,8,"Miami, FL",msa,FL,204.8780487804878,218.38584376348726,208.16634262736954,220.11086524712567,233.80281690140845,249.38279624927,232.21456397962243,224.04330127128136,231.3335843373494,209.77175798504442,203.3804377944029,207.1629213483146,204.4833573491009,211.50507813001553,209.8998017708471,202.4850437183617,210.65675340768277,207.92609699769054,213.29844592451633,215.03721024349665,212.7670268911787,213.83844708829054,222.5223661097267,224.58259325044406,223.83354350567464,209.33116279069768,218.03308433770755,219.63146704464918,221.16402116402116,213.10933086800804,217.50495059397136,215.21511017838404,221.40820445738478,224.48613760326185,233.5423778440317,229.37011419110257,217.3276931395312,225.83488620165008,233.24587058087775,226.89963006114516,252.13385826771653,246.8034993270525,243.43434343434345,244.30153846153846,250.718954248366,257.17703349282294,258.83116883116884,271.5759312320917,272.2772277227723,262.4378727634195,276.6091702494658,280.8206580073788,279.93506493506493,284.34382194934767,289.72682119205297,283.9409321642824,283.10214375788144,294.90308686288586,287.98552954035824,287.89885057471264,301.9959390862944,298.1610337972167,327.2972972972973,324.1088900578643,323.39563613027434,356.73396851082805,343.790610718737,329.79529946929495,346.3347921225383,357.9809817462369,357.24169741697415,321.2485200138864,356.66876615075023,339.3954121737735,347.7795398907666,364.3649992664218,346.79089026915113,344.3776520509194,353.5012136788748,346.02627257799674,357.11998655903994,360.6158833063209,358.314121037464,361.11035857451213,374.71264367816093,376.1363636363636,366.6062101291631,400.36815462494246,375.4032258064516,446.94944799535153,401.70556552962296,368.97266562470645,384.3640479119195,400.6645361067457,366.6891436277815,462.7462647887653,494.5719091965385,522.3544457736565,505.050505050505
394347,9,"Atlanta, GA",msa,GA,103.11165344722392,103.55437014189174,105.13847946470977,106.8541221887223,108.39141468129796,108.84680490901397,108.79742304939155,109.8955087856418,112.55735397607319,116.64661501263876,116.95777836111294,116.27372475086895,110.01626898047722,111.02088792676928,113.56867071152786,113.13374184500944,117.12479492680464,114.79525620944283,119.0,120.02664067576349,122.29192538978748,121.98348190875721,124.08673267326732,124.29271708683473,119.08979841172878,121.94212218649518,122.93816265839152,125.16320474777449,122.64851485148515,123.29303004043905,126.3358042994811,128.53869653767822,129.05394983396585,131.05078336034575,132.6907214419174,133.3,131.71402050205828,134.72931390134528,137.92942176870747,140.07204218848193,145.82270408163265,147.4021266312228,151.1959205582394,156.95084206805072,157.10716332378223,160.4437329484913,163.21487170665915,166.30825057386647,162.68438177874185,165.7848324514991,171.534500148424,173.15202670255536,176.8013100436681,185.1814904393852,184.33853146853147,186.5717639354224,185.620377978636,183.02533992583437,185.52311435523114,183.90804597701148,177.93,182.72463254410303,184.04314561002752,188.22553897180762,189.6551724137931,188.63721693910372,186.733993902439,186.75504105227384,190.6912122264675,194.7095098993833,188.93028047614507,192.60555555555555,186.1888008514664,191.11940298507463,189.95,194.82272727272726,192.94984199490938,190.20422847286085,190.552871712292,191.4375498802873,194.33882551753274,194.4330854823435,198.3465842441181,195.58281324617957,194.08396258216754,191.31034482758622,189.34954781220907,193.39118825100132,190.85889570552146,190.41278295605858,196.28934431298183,191.24820659971306,186.24536279323513,189.94444444444446,190.53876478318003,188.4021551763607,187.20962011478545,189.6963028169014,189.47368421052633
